item,itemLabel,positionLabel,height,mass,genderLabel,followers
http://www.wikidata.org/entity/Q140160,Zafer Çevik,orta saha,,,erkek,
http://www.wikidata.org/entity/Q138129,Talat Yörük,orta saha,,,erkek,
http://www.wikidata.org/entity/Q67639,Coşkun Taş,Forvet,,,erkek,
http://www.wikidata.org/entity/Q76322,Yıldıray Baştürk,orta saha,168,65,erkek,
http://www.wikidata.org/entity/Q264106,Murat Gürbüzerol,kanat,,,erkek,
http://www.wikidata.org/entity/Q49803,Halil Savran,Forvet,,,erkek,
http://www.wikidata.org/entity/Q167219,İlgar Kurbanov,Forvet,176,,erkek,
http://www.wikidata.org/entity/Q187280,Zeki Yavru,fullback,179,,erkek,
http://www.wikidata.org/entity/Q207005,Ziya Erdal,savunma,,73,erkek,
http://www.wikidata.org/entity/Q1471939,Onur Karakabak,orta saha,,,erkek,
http://www.wikidata.org/entity/Q77834,Okan Aydın,kanat,171,,erkek,
http://www.wikidata.org/entity/Q94152,Harun Erbek,savunma,,,erkek,
http://www.wikidata.org/entity/Q259179,Gökhan Zan,savunma,194,85,erkek,93663
http://www.wikidata.org/entity/Q1402703,Mehmet Ali Tunç,kaleci,,,erkek,
http://www.wikidata.org/entity/Q82902,Erkan Sağlik,savunma,187,85,erkek,
http://www.wikidata.org/entity/Q1418755,Kaya Tarakçı,kaleci,,,erkek,
http://www.wikidata.org/entity/Q174045,Özgür Çek,kanat,173,,erkek,
http://www.wikidata.org/entity/Q1414112,Filiz Koç,orta saha,1.74,,kadın,
http://www.wikidata.org/entity/Q1419830,Yavuz Eraydın,kaleci,,,erkek,
http://www.wikidata.org/entity/Q129588,Ediz Bahtiyaroğlu,savunma,190,86,erkek,
http://www.wikidata.org/entity/Q114487,Serdar Kurtuluş,savunma,,79,erkek,
http://www.wikidata.org/entity/Q1401328,Mert Günok,kaleci,196,92,erkek,322930
http://www.wikidata.org/entity/Q198250,Mustafa Kaplan,savunma,,,erkek,
http://www.wikidata.org/entity/Q259179,Gökhan Zan,stoper,194,85,erkek,93663
http://www.wikidata.org/entity/Q162581,İsmail Konuk,savunma,,,erkek,
http://www.wikidata.org/entity/Q198255,Yakup Bugun,kaleci,,,erkek,
http://www.wikidata.org/entity/Q31564,Hakan Balta,fullback,184,,erkek,
http://www.wikidata.org/entity/Q207010,Ziya Şengül,savunma,,,erkek,
http://www.wikidata.org/entity/Q195349,Teoman Safa Erkan,Forvet,,,erkek,
http://www.wikidata.org/entity/Q265348,Berkay Öztuvan,orta saha,,,erkek,
http://www.wikidata.org/entity/Q187273,Zeki Rıza Sporel,Forvet,,,erkek,
http://www.wikidata.org/entity/Q167729,Mehmet Sak,orta saha,,,erkek,
